Country,2021,2022,2023,2024,2025
Nepal,36207.0,40828.0,42097.0,42914.0,45513.0
Cyprus,28408.0,28439.0,30864.0,36333.0,39943.0
Honduras,28489.0,31718.0,32860.0,37094.0,39445.0
Iceland,25602.0,27842.0,28625.0,33463.0,38386.0
Georgia,18696.0,24605.0,27947.0,33776.0,37403.0
Senegal,27625.0,27684.0,31221.0,32267.0,36839.0
El Salvador,28737.0,32489.0,33752.0,35365.0,36587.0
Sudan,35867.0,51662.0,46705.0,49910.0,35897.0
Bosnia and Herzegovina,23365.0,24528.0,28488.0,28343.0,33237.0
Papua New Guinea,26595.0,30633.0,31362.0,32538.0,32714.0
Haiti,19044.0,20254.0,26580.0,25224.0,30908.0
Albania,18260.0,18882.0,20177.0,27178.0,29939.0
Zambia,21313.0,29784.0,29272.0,26326.0,29369.0
Armenia,13861.0,19503.0,23725.0,25787.0,27859.0
Malta,17721.0,17765.0,19405.0,24322.0,27745.0
Guinea,16036.0,21228.0,23330.0,25334.0,27515.0
Burkina Faso,19738.0,18885.0,21076.0,23250.0,26866.0
Trinidad and Tobago,24460.0,27899.0,28223.0,26429.0,26002.0
Mali,19157.0,18827.0,20776.0,26588.0,25591.0
Mongolia,15098.0,16811.0,16908.0,23586.0,25105.0
Guyana,8044.0,15358.0,16309.0,24836.0,25064.0
Mozambique,15777.0,17851.0,19909.0,22417.0,24726.0
Benin,17688.0,17402.0,19236.0,21483.0,24402.0
Jamaica,14658.0,17098.0,17254.0,19930.0,23137.0
Niger,14915.0,13970.0,16617.0,19538.0,22969.0
Chad,16410.0,12704.0,11962.0,20626.0,21592.0
Gabon,18521.0,21072.0,20330.0,20867.0,21455.0
Nicaragua,14013.0,15672.0,17287.0,19694.0,20689.0
Kyrgyzstan,8741.0,10931.0,12309.0,17478.0,20160.0
Moldova,13680.0,14421.0,15829.0,18200.0,19620.0
Madagascar,14450.0,14955.0,15969.0,17421.0,19377.0
Botswana,17615.0,20352.0,19572.0,19401.0,19186.0
North Macedonia,13881.0,13563.0,15278.0,16685.0,18783.0
Tajikistan,8746.0,10492.0,12796.0,14205.0,17032.0
Laos,19074.0,15724.0,14091.0,16503.0,16934.0
Bahamas,11209.0,12897.0,14114.0,15833.0,16393.0
Mauritius,11525.0,12898.0,14570.0,14953.0,15730.0
Congo,12841.0,14616.0,13031.0,15720.0,15695.0
Brunei,14006.0,16682.0,15988.0,15463.0,15565.0
Malawi,12199.0,13165.0,11277.0,11009.0,14975.0
Rwanda,11070.0,13313.0,13149.0,14252.0,14771.0
Namibia,12236.0,12607.0,13486.0,13372.0,14686.0
Equatorial Guinea,12431.0,11814.0,15099.0,12766.0,13467.0
Somalia,7628.0,8126.0,8738.0,12109.0,12944.0
Kosovo,9412.0,9429.0,9990.0,11149.0,12672.0
Mauritania,9996.0,10375.0,10966.0,10767.0,11953.0
Togo,8160.0,8126.0,9001.0,9926.0,10951.0
Liechtenstein,6608.0,,,8288.0,9424.0
Montenegro,5809.0,6096.0,7027.0,8070.0,9353.0
Sierra Leone,4249.0,3970.0,3520.0,7548.0,8639.0
Maldives,5406.0,6190.0,7004.0,6975.0,7676.0
Barbados,4844.0,5638.0,6117.0,7165.0,7559.0
Burundi,3900.0,3073.0,3234.0,2162.0,7025.0
Fiji,4296.0,4943.0,5385.0,5841.0,6336.0
Eswatini,4732.0,4854.0,4824.0,4892.0,5201.0
Liberia,2445.0,4001.0,4375.0,4750.0,5182.0
South Sudan,4304.0,,7012.0,,4979.0
Djibouti,3701.0,3515.0,3916.0,4086.0,4613.0
Suriname,3224.0,3621.0,3470.0,4714.0,4496.0
Andorra,3325.0,3352.0,3669.0,4040.0,4408.0
Aruba,3126.0,,3633.0,3649.0,4319.0
Bhutan,2381.0,,2683.0,3019.0,3408.0
Central African Republic,2518.0,2383.0,2736.0,2752.0,3300.0
Belize,2492.0,2824.0,3162.0,3516.0,3297.0
Cape Verde,1936.0,2315.0,2468.0,2768.0,2915.0
Saint Lucia,1765.0,2065.0,2262.0,2549.0,2659.0
Gambia,2038.0,2273.0,2277.0,2508.0,2497.0
Guinea-Bissau,1563.0,1634.0,1887.0,2120.0,2474.0
Lesotho,2373.0,2553.0,2584.0,2272.0,2390.0
Antigua and Barbuda,1421.0,1758.0,1864.0,2225.0,2340.0
San Marino,1702.0,,1807.0,1832.0,2241.0
Seychelles,1287.0,1588.0,1950.0,2167.0,2230.0
Timor-Leste,,,,1881.0,2125.0
Solomon Islands,1632.0,1596.0,1701.0,1761.0,1904.0
Comoros,1340.0,1243.0,1348.0,1546.0,1613.0
Grenada,1115.0,1256.0,1274.0,1391.0,1458.0
Samoa,857.0,832.0,898.0,1068.0,1248.0
Saint Vincent and the Grenadines,881.0,949.0,1039.0,1157.0,1238.0
Saint Kitts and Nevis,861.0,962.0,1052.0,1067.0,1141.0
Vanuatu,981.0,984.0,1064.0,1161.0,1119.0
São Tomé and Príncipe,555.0,547.0,625.0,764.0,976.0
Dominica,548.0,612.0,681.0,689.0,748.0
Tonga,472.0,,541.0,509.0,587.0
Micronesia,404.0,427.0,456.0,471.0,495.0
Palau,218.0,,262.0,282.0,341.0
Kiribati,227.0,223.0,248.0,308.0,321.0
Marshall Islands,257.0,280.0,291.0,280.0,302.0
Nauru,155.0,151.0,151.0,160.0,172.0
Tuvalu,60.0,60.0,65.0,62.0,58.0
Afghanistan,14939.0,,,17152.0,
American Samoa,,,,871.0,
Anguilla,303.0,,,,
Bermuda,7231.0,7551.0,,8980.0,
British Virgin Islands,1539.0,,,,
Cayman Islands,5809.0,,,7139.0,
Channel Islands,,,,12508.0,
Cook Islands,328.0,,,,
Cuba,126694.0,107352.0,,,
Curaçao,2700.0,,,3281.0,
East Timor,2004.0,3163.0,1988.0,,
Eritrea,2255.0,,2666.0,,
Faroe Islands,,,,3907.0,
French Polynesia,6055.0,,,6402.0,
Greenland,3273.0,,,3327.0,
Guam,,,,6910.0,
Isle of Man,,,,7431.0,
Lebanon,37945.0,,,20079.0,
Monaco,8596.0,,,9995.0,
Montserrat,72.0,,,,
New Caledonia,10071.0,,,9623.0,
North Korea,16750.0,,,,
Northern Mariana Islands,,,,1096.0,
Palestine,18037.0,19112.0,19206.0,13711.0,
Saint Martin,,,,649.0,
Sint Maarten,1154.0,1572.0,,1735.0,
Sri Lanka,85309.0,74404.0,,98963.0,
Syria,19719.0,,,19993.0,
Turks and Caicos Islands,943.0,1139.0,,1745.0,
U.S. Virgin Islands,,,,4672.0,
Yemen,9947.0,,19529.0,,
Zanzibar,2080.0,,,,
